辽宁移动 央视（支持时移和回看）,#genre#
安平综合频道,http://121.29.141.88:4022/rtp/239.253.93.36:6189
景县综合频道,http://121.29.141.88:4022/rtp/239.253.93.38:6191
饶阳电视台,http://121.29.141.88:4022/rtp/239.253.93.40:6193
深州新闻综合,http://121.29.141.88:4022/rtp/239.253.93.42:6195
故城电视台,http://121.29.141.88:4022/rtp/239.253.93.161:6329
枣强综合频道,http://121.29.141.88:4022/rtp/239.253.93.166:6334
清河电视台,http://121.29.141.88:4022/rtp/239.253.93.44:6197
武安新闻综合,http://121.29.141.88:4022/rtp/239.253.93.62:6215
鸡泽新闻综合,http://121.29.141.88:4022/rtp/239.253.93.64:6219
内丘电视台,http://121.29.141.88:4022/rtp/239.253.93.102:6268
涉县新闻综合,http://121.29.141.88:4022/rtp/239.253.93.106:6273
CETV1,http://121.29.141.88:4022/rtp/239.253.92.211:6069
CETV2,http://121.29.141.88:4022/rtp/239.253.92.108:6136
CETV4,http://121.29.141.88:4022/rtp/239.253.92.200:6137
CETV早期教育,http://121.29.141.88:4022/rtp/239.253.93.164:6440
北京卫视4K超高清,http://121.29.141.88:4022/rtp/239.253.92.220:6229
CCTV4K超高清,http://121.29.141.88:4022/rtp/239.253.92.219:6228
北京纪实科教,http://121.29.141.88:4022/rtp/239.253.93.190:6358
金鹰卡通,http://121.29.141.88:4022/rtp/239.253.92.163:8055
金鹰纪实,http://121.29.141.88:4022/rtp/239.253.92.103:6054
快乐垂钓,http://121.29.141.88:4022/rtp/239.253.93.213:6391
茶频道,http://121.29.141.88:4022/rtp/239.253.93.212:6390
河南文物宝库,http://121.29.141.88:4022/rtp/239.253.93.180:6437
河南梨园频道,http://121.29.141.88:4022/rtp/239.253.93.133:6441
河南武术世界,http://121.29.141.88:4022/rtp/239.253.93.46:6434
羽毛球专区,http://121.29.141.88:4022/rtp/239.253.93.202:6380
中国交通频道,http://121.29.141.88:4022/rtp/239.253.93.189:6357
中华特产,http://121.29.141.88:4022/rtp/239.253.93.242:6420
天元围棋,http://121.29.141.88:4022/rtp/239.253.93.211:6389
CCTV4K超高清,http://121.29.141.88:4022/rtp/239.253.93.134:6631
CCTV-4欧洲,http://121.29.141.88:4022/rtp/239.253.93.192:6370
CCTV-4美洲,http://121.29.141.88:4022/rtp/239.253.93.193:6371
CGTN英语,http://121.29.141.88:4022/rtp/239.253.92.15:8011
CGTN纪录,http://121.29.141.88:4022/rtp/239.253.93.195:6373
CGTN西班牙语,http://121.29.141.88:4022/rtp/239.253.93.196:6374
CGTN法语,http://121.29.141.88:4022/rtp/239.253.93.197:6375
CGTN阿拉伯语,http://121.29.141.88:4022/rtp/239.253.93.198:6376
CGTN俄语,http://121.29.141.88:4022/rtp/239.253.93.199:6377
卡酷少儿,http://121.29.141.88:4022/rtp/239.253.92.162:8054
嘉佳卡通,http://121.29.141.88:4022/rtp/239.253.93.203:6381
优漫卡通,http://121.29.141.88:4022/rtp/239.253.93.204:6382
山东教育卫视,http://121.29.141.88:4022/rtp/239.253.92.106:6135
兵团卫视,http://121.29.141.88:4022/rtp/239.253.93.176:6344
沧州新闻综合,http://121.29.141.88:4022/rtp/239.253.92.121:6015
沧州公共,http://121.29.141.88:4022/rtp/239.253.92.122:6016
沧州影视娱乐,http://121.29.141.88:4022/rtp/239.253.92.123:6017
栾城电视,http://121.29.141.88:4022/rtp/239.253.92.187:6051
滦平电视,http://121.29.141.88:4022/rtp/239.253.92.100:6142
双滦电视,http://121.29.141.88:4022/rtp/239.253.92.147:6224
赞皇电视,http://121.29.141.88:4022/rtp/239.253.92.12:6042
宽城新闻,http://121.29.141.88:4022/rtp/239.253.93.117:6019
任泽电视,http://121.29.141.88:4022/rtp/239.253.93.145:6313
邯山电视,http://121.29.141.88:4022/rtp/239.253.93.146:6314
顺平电视,http://121.29.141.88:4022/rtp/239.253.93.148:6316
尚义电视,http://121.29.141.88:4022/rtp/239.253.93.163:6331
赤城电视,http://121.29.141.88:4022/rtp/239.253.93.160:6328
昌黎电视,http://121.29.141.88:4022/rtp/239.253.92.109:6217
抚宁电视,http://121.29.141.88:4022/rtp/239.253.93.201:6379
卢龙电视,http://121.29.141.88:4022/rtp/239.253.93.206:6384
丰南电视,http://121.29.141.88:4022/rtp/239.253.92.231:6070
迁西电视,http://121.29.141.88:4022/rtp/239.253.92.247:6091
滦州电视,http://121.29.141.88:4022/rtp/239.253.92.97:6138
大城电视,http://121.29.141.88:4022/rtp/239.253.92.230:6068
固安电视,http://121.29.141.88:4022/rtp/239.253.93.109:6276
永清电视,http://121.29.141.88:4022/rtp/239.253.93.172:6340
霸州综合,http://121.29.141.88:4022/rtp/239.253.93.209:6387
东光电视,http://121.29.141.88:4022/rtp/239.253.93.96:6262
青县电视,http://121.29.141.88:4022/rtp/239.253.93.139:6307
盐山电视,http://121.29.141.88:4022/rtp/239.253.93.144:6312
南皮电视,http://121.29.141.88:4022/rtp/239.253.93.149:6317
肃宁电视,http://121.29.141.88:4022/rtp/239.253.93.152:6320
丰宁综合,http://121.29.141.88:4022/rtp/239.253.93.210:6388
定兴电视,http://121.29.141.88:4022/rtp/239.253.93.14:6167
满城电视,http://121.29.141.88:4022/rtp/239.253.93.19:6172
清苑电视,http://121.29.141.88:4022/rtp/239.253.93.24:6177
望都电视,http://121.29.141.88:4022/rtp/239.253.93.32:6185
高阳电视,http://121.29.141.88:4022/rtp/239.253.93.105:6272
安新电视,http://121.29.141.88:4022/rtp/239.253.93.107:6274
容城电视,http://121.29.141.88:4022/rtp/239.253.93.110:6277
涿鹿电视,http://121.29.141.88:4022/rtp/239.253.93.181:6349
大名电视,http://121.29.141.88:4022/rtp/239.253.93.186:6354
武强电视,http://121.29.141.88:4022/rtp/239.253.93.79:6245
阜城电视,http://121.29.141.88:4022/rtp/239.253.93.168:6336
广宗电视,http://121.29.141.88:4022/rtp/239.253.93.50:6203
宁晋电视,http://121.29.141.88:4022/rtp/239.253.93.51:6204
平乡电视,http://121.29.141.88:4022/rtp/239.253.93.53:6206
隆尧电视,http://121.29.141.88:4022/rtp/239.253.93.65:6230
广平电视,http://121.29.141.88:4022/rtp/239.253.93.66:6231
南和电视,http://121.29.141.88:4022/rtp/239.253.93.80:6246
临漳电视,http://121.29.141.88:4022/rtp/239.253.93.84:6250
迁安电视,http://121.29.141.88:4022/rtp/239.253.93.113:6280
馆陶电视,http://121.29.141.88:4022/rtp/239.253.93.115:6282
乐亭电视,http://121.29.141.88:4022/rtp/239.253.93.250:6290
沙河电视,http://121.29.141.88:4022/rtp/239.253.93.179:6347
丰润电视,http://121.29.141.88:4022/rtp/239.253.92.252:6156
慢直播1,http://121.29.141.88:4022/rtp/239.253.94.1:6600
慢直播2,http://121.29.141.88:4022/rtp/239.253.94.2:6601
临时直播,http://121.29.141.88:4022/rtp/239.253.92.116:6029
天津联通-组播1,#genre#
天津卫视,http://111.162.207.1:8686/rtp/225.1.1.111:5002
天津新闻频道,http://111.162.207.1:8686/rtp/225.1.1.130:5002
天津文艺频道,http://111.162.207.1:8686/rtp/225.1.1.131:5002
天津影视频道,http://111.162.207.1:8686/rtp/225.1.1.149:5002
天津都市频道,http://111.162.207.1:8686/rtp/225.1.1.128:5002
天津体育频道,http://111.162.207.1:8686/rtp/225.1.1.122:5002
天津教育频道,http://111.162.207.1:8686/rtp/225.1.1.129:5002
天津购物频道,http://111.162.207.1:8686/rtp/225.1.1.151:5002
天津文旅频道,http://111.162.207.1:8686/rtp/225.1.2.123:5002
CCTV-1综合,http://111.162.207.1:8686/rtp/225.1.1.120:5002
CCTV-2财经,http://111.162.207.1:8686/rtp/225.1.1.133:5002
CCTV-3综艺,http://111.162.207.1:8686/rtp/225.1.1.158:5002
CCTV-4中文国际,http://111.162.207.1:8686/rtp/225.1.1.150:5002
CCTV-5体育,http://111.162.207.1:8686/rtp/225.1.1.160:5002
CCTV-5+体育赛事,http://111.162.207.1:8686/rtp/225.1.1.121:5002
CCTV-6电影,http://111.162.207.1:8686/rtp/225.1.1.195:5002
CCTV-7国防军事,http://111.162.207.1:8686/rtp/225.1.1.138:5002
CCTV-8电视剧,http://111.162.207.1:8686/rtp/225.1.1.196:5002
CCTV-9纪录,http://111.162.207.1:8686/rtp/225.1.1.119:5002
CCTV-10科教,http://111.162.207.1:8686/rtp/225.1.1.140:5002
CCTV-11戏曲,http://111.162.207.1:8686/rtp/225.1.2.192:5002
CCTV-12社会与法,http://111.162.207.1:8686/rtp/225.1.1.142:5002
CCTV-13新闻,http://111.162.207.1:8686/rtp/225.1.2.193:5002
CCTV-14少儿,http://111.162.207.1:8686/rtp/225.1.1.144:5002
CCTV-15音乐,http://111.162.207.1:8686/rtp/225.1.2.194:5002
CCTV-16奥林匹克,http://111.162.207.1:8686/rtp/225.1.2.237:5002
CCTV-17农业农村,http://111.162.207.1:8686/rtp/225.1.2.52:5002
CHC动作电影,http://111.162.207.1:8686/rtp/225.1.1.215:5002
CHC影迷电影,http://111.162.207.1:8686/rtp/225.1.1.214:5002
CHC家庭影院,http://111.162.207.1:8686/rtp/225.1.1.213:5002
CCTV第一剧场,http://111.162.207.1:8686/rtp/225.1.2.175:5002
CCTV怀旧剧场,http://111.162.207.1:8686/rtp/225.1.2.173:5002
CCTV风云剧场,http://111.162.207.1:8686/rtp/225.1.2.174:5002
CCTV风云音乐,http://111.162.207.1:8686/rtp/225.1.2.176:5002
CCTV风云足球,http://111.162.207.1:8686/rtp/225.1.2.168:5002
CCTV高尔夫网球,http://111.162.207.1:8686/rtp/225.1.2.169:5002
CCTV女性时尚,http://111.162.207.1:8686/rtp/225.1.2.172:5002
CCTV兵器科技,http://111.162.207.1:8686/rtp/225.1.2.166:5002
CCTV世界地理,http://111.162.207.1:8686/rtp/225.1.2.171:5002
CCTV央视文化精品,http://111.162.207.1:8686/rtp/225.1.2.177:5002
CCTV央视台球,http://111.162.207.1:8686/rtp/225.1.2.170:5002
CCTV电视指南,http://111.162.207.1:8686/rtp/225.1.2.167:5002
安徽卫视,http://111.162.207.1:8686/rtp/225.1.1.127:5002
北京卫视,http://111.162.207.1:8686/rtp/225.1.1.113:5002
浙江卫视,http://111.162.207.1:8686/rtp/225.1.1.112:5002
东方卫视,http://111.162.207.1:8686/rtp/225.1.2.31:5002
广东卫视,http://111.162.207.1:8686/rtp/225.1.1.116:5002
广西卫视,http://111.162.207.1:8686/rtp/225.1.2.81:5002
湖北卫视,http://111.162.207.1:8686/rtp/225.1.1.147:5002
湖南卫视,http://111.162.207.1:8686/rtp/225.1.1.114:5002
吉林卫视,http://111.162.207.1:8686/rtp/225.1.2.26:5002
江苏卫视,http://111.162.207.1:8686/rtp/225.1.1.126:5002
四川卫视,http://111.162.207.1:8686/rtp/225.1.1.123:5002
重庆卫视,http://111.162.207.1:8686/rtp/225.1.1.155:5002
江西卫视,http://111.162.207.1:8686/rtp/225.1.2.29:5002
辽宁卫视,http://111.162.207.1:8686/rtp/225.1.1.154:5002
深圳卫视,http://111.162.207.1:8686/rtp/225.1.1.117:5002
贵州卫视,http://111.162.207.1:8686/rtp/225.1.2.28:5002
海南卫视,http://111.162.207.1:8686/rtp/225.1.2.82:5002
河北卫视,http://111.162.207.1:8686/rtp/225.1.2.27:5002
河南卫视,http://111.162.207.1:8686/rtp/225.1.2.61:5002
黑龙江卫视,http://111.162.207.1:8686/rtp/225.1.1.115:5002
内蒙古卫视,http://111.162.207.1:8686/rtp/225.1.1.32:5002
宁夏卫视,http://111.162.207.1:8686/rtp/225.1.1.56:5002
青海卫视,http://111.162.207.1:8686/rtp/225.1.1.54:5002
山西卫视,http://111.162.207.1:8686/rtp/225.1.1.50:5002
陕西卫视,http://111.162.207.1:8686/rtp/225.1.1.41:5002
甘肃卫视,http://111.162.207.1:8686/rtp/225.1.1.30:5002
云南卫视,http://111.162.207.1:8686/rtp/225.1.1.61:5002
西藏卫视,http://111.162.207.1:8686/rtp/225.1.1.51:5002
新疆卫视,http://111.162.207.1:8686/rtp/225.1.1.35:5002
三沙卫视,http://111.162.207.1:8686/rtp/225.1.2.181:5002
兵团卫视,http://111.162.207.1:8686/rtp/225.1.1.57:5002
山东教育卫视,http://111.162.207.1:8686/rtp/225.1.2.118:5002
金鹰纪实,http://111.162.207.1:8686/rtp/225.1.1.124:5002
金鹰卡通,http://111.162.207.1:8686/rtp/225.1.2.236:5002
茶频道,http://111.162.207.1:8686/rtp/225.1.2.19:5002
精彩影视,http://111.162.207.1:8686/rtp/225.1.1.141:5002
上海动漫秀场,http://111.162.207.1:8686/rtp/225.1.1.134:5002
上海都市剧场,http://111.162.207.1:8686/rtp/225.1.1.146:5002
上海欢笑剧场,http://111.162.207.1:8686/rtp/225.1.1.139:5002
上海法治天地,http://111.162.207.1:8686/rtp/225.1.1.237:5002
上海生活时尚,http://111.162.207.1:8686/rtp/225.1.1.143:5002
上海游戏风云,http://111.162.207.1:8686/rtp/225.1.1.135:5002
上海乐游频道,http://111.162.207.1:8686/rtp/225.1.1.145:5002
上海东方财经,http://111.162.207.1:8686/rtp/225.1.1.247:5002
上海金色学堂,http://111.162.207.1:8686/rtp/225.1.1.236:5002
河南梨园频道,http://111.162.207.1:8686/rtp/225.1.2.104:5002
河南文物宝库,http://111.162.207.1:8686/rtp/225.1.2.105:5002
河南武术世界,http://111.162.207.1:8686/rtp/225.1.2.129:5002
中国交通,http://111.162.207.1:8686/rtp/225.1.2.57:5002
魅力足球,http://111.162.207.1:8686/rtp/225.1.1.137:5002
CETV早期教育,http://111.162.207.1:8686/rtp/225.1.2.207:5002
CGTN英语,http://111.162.207.1:8686/rtp/225.1.1.27:5002
CGTN纪录,http://111.162.207.1:8686/rtp/225.1.1.55:5002
蓟州电视台,http://111.162.207.1:8686/rtp/225.1.1.82:5002
静海电视台,http://111.162.207.1:8686/rtp/225.1.1.110:5002
河东频道,http://111.162.207.1:8686/rtp/225.1.2.2:5002
河西频道,http://111.162.207.1:8686/rtp/225.1.2.4:5002
滨海1,http://111.162.207.1:8686/rtp/225.1.2.7:5002
滨海2,http://111.162.207.1:8686/rtp/225.1.2.8:5002
保定电视台,http://111.162.207.1:8686/rtp/225.1.1.83:5002
大港油田企业,http://111.162.207.1:8686/rtp/225.1.2.14:5002
卡酷少儿,http://111.162.207.1:8686/rtp/225.1.1.58:5002
哈哈炫动,http://111.162.207.1:8686/rtp/225.1.1.62:5002
新动漫,http://111.162.207.1:8686/rtp/225.1.1.216:5002
重庆汽摩,http://111.162.207.1:8686/rtp/225.1.1.205:5002
天津文艺广播,http://111.162.207.1:8686/rtp/225.1.1.171:5002
天津经济广播,http://111.162.207.1:8686/rtp/225.1.1.172:5002
天津新闻广播,http://111.162.207.1:8686/rtp/225.1.1.173:5002
天津生活广播,http://111.162.207.1:8686/rtp/225.1.1.174:5002
天津交通广播,http://111.162.207.1:8686/rtp/225.1.1.175:5002
天津相声广播,http://111.162.207.1:8686/rtp/225.1.1.176:5002
天津小说广播,http://111.162.207.1:8686/rtp/225.1.1.177:5002
天津滨海广播,http://111.162.207.1:8686/rtp/225.1.1.178:5002
天津音乐广播,http://111.162.207.1:8686/rtp/225.1.1.179:5002
天津农村广播,http://111.162.207.1:8686/rtp/225.1.1.180:5002
北京联通-组播1,#genre#
北京卫视,http://114.254.37.158:18888/rtp/239.3.1.241:8000
北京新闻频道,http://114.254.37.158:18888/rtp/239.3.1.159:8000
北京影视频道,http://114.254.37.158:18888/rtp/239.3.1.158:8000
北京文艺频道,http://114.254.37.158:18888/rtp/239.3.1.242:8000
北京财经频道,http://114.254.37.158:18888/rtp/239.3.1.116:8000
北京生活频道,http://114.254.37.158:18888/rtp/239.3.1.117:8000
北京纪实科教,http://114.254.37.158:18888/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.254.37.158:18888/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.37.158:18888/rtp/239.3.1.243:8000
北京国际频道,http://114.254.37.158:18888/rtp/239.3.1.235:8000
CCTV-1综合,http://114.254.37.158:18888/rtp/239.3.1.129:8008
CCTV-2财经,http://114.254.37.158:18888/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.254.37.158:18888/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.254.37.158:18888/rtp/239.3.1.105:8092
CCTV-5体育,http://114.254.37.158:18888/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.254.37.158:18888/rtp/239.3.1.130:8004
CCTV-6电影,http://114.254.37.158:18888/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.254.37.158:18888/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.254.37.158:18888/rtp/239.3.1.175:8001
CCTV-9纪录,http://114.254.37.158:18888/rtp/239.3.1.62:8112
CCTV-10科教,http://114.254.37.158:18888/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.254.37.158:18888/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.254.37.158:18888/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.254.37.158:18888/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.254.37.158:18888/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.254.37.158:18888/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.254.37.158:18888/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.254.37.158:18888/rtp/239.3.1.151:8144
湖南卫视,http://114.254.37.158:18888/rtp/239.3.1.132:8012
东方卫视,http://114.254.37.158:18888/rtp/239.3.1.136:8032
浙江卫视,http://114.254.37.158:18888/rtp/239.3.1.137:8036
江苏卫视,http://114.254.37.158:18888/rtp/239.3.1.135:8028
深圳卫视,http://114.254.37.158:18888/rtp/239.3.1.134:8020
广东卫视,http://114.254.37.158:18888/rtp/239.3.1.142:8048
安徽卫视,http://114.254.37.158:18888/rtp/239.3.1.211:8064
天津卫视,http://114.254.37.158:18888/rtp/239.3.1.141:1234
重庆卫视,http://114.254.37.158:18888/rtp/239.3.1.122:8160
山东卫视,http://114.254.37.158:18888/rtp/239.3.1.209:8052
河北卫视,http://114.254.37.158:18888/rtp/239.3.1.148:8072
辽宁卫视,http://114.254.37.158:18888/rtp/239.3.1.210:8056
湖北卫视,http://114.254.37.158:18888/rtp/239.3.1.138:8044
吉林卫视,http://114.254.37.158:18888/rtp/239.3.1.240:8172
贵州卫视,http://114.254.37.158:18888/rtp/239.3.1.149:8076
东南卫视,http://114.254.37.158:18888/rtp/239.3.1.156:8148
江西卫视,http://114.254.37.158:18888/rtp/239.3.1.123:8164
海南卫视,http://114.254.37.158:18888/rtp/239.3.1.45:8304
黑龙江卫视,http://114.254.37.158:18888/rtp/239.3.1.133:8016
云南卫视,http://114.254.37.158:18888/rtp/239.3.1.26:8108
四川卫视,http://114.254.37.158:18888/rtp/239.3.1.29:8288
宁夏卫视,http://114.254.37.158:18888/rtp/239.3.1.46:8124
山西卫视,http://114.254.37.158:18888/rtp/239.3.1.42:8172
广西卫视,http://114.254.37.158:18888/rtp/239.3.1.39:8300
新疆卫视,http://114.254.37.158:18888/rtp/239.3.1.48:8160
河南卫视,http://114.254.37.158:18888/rtp/239.3.1.27:8128
甘肃卫视,http://114.254.37.158:18888/rtp/239.3.1.49:8188
西藏卫视,http://114.254.37.158:18888/rtp/239.3.1.47:8164
陕西卫视,http://114.254.37.158:18888/rtp/239.3.1.41:8140
青海卫视,http://114.254.37.158:18888/rtp/239.3.1.44:8184
内蒙古卫视,http://114.254.37.158:18888/rtp/239.3.1.43:8176
三沙卫视,http://114.254.37.158:18888/rtp/239.3.1.155:4120
厦门卫视,http://114.254.37.158:18888/rtp/239.3.1.143:4120
兵团卫视,http://114.254.37.158:18888/rtp/239.3.1.144:4120
华数爱上4K,http://114.254.37.158:18888/rtp/239.3.1.236:2000
北京IPTV4K超清,http://114.254.37.158:18888/rtp/239.3.1.249:8001
北京IPTV淘电影,http://114.254.37.158:18888/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://114.254.37.158:18888/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://114.254.37.158:18888/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://114.254.37.158:18888/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://114.254.37.158:18888/rtp/239.3.1.102:8001
CCTV-4欧洲,http://114.254.37.158:18888/rtp/239.3.1.213:4220
CCTV-4美洲,http://114.254.37.158:18888/rtp/239.3.1.214:4220
CGTN英语,http://114.254.37.158:18888/rtp/239.3.1.215:4220
CGTN纪录,http://114.254.37.158:18888/rtp/239.3.1.216:4220
CGTN西班牙语,http://114.254.37.158:18888/rtp/239.3.1.217:4220
CGTN法语,http://114.254.37.158:18888/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://114.254.37.158:18888/rtp/239.3.1.219:4220
CGTN俄语,http://114.254.37.158:18888/rtp/239.3.1.220:4220
CETV1,http://114.254.37.158:18888/rtp/239.3.1.57:8152
CETV2,http://114.254.37.158:18888/rtp/239.3.1.54:4120
CETV4,http://114.254.37.158:18888/rtp/239.3.1.56:4120
中国交通,http://114.254.37.158:18888/rtp/239.3.1.188:8001
朝阳融媒,http://114.254.37.158:18888/rtp/239.3.1.163:8001
通州融媒,http://114.254.37.158:18888/rtp/239.3.1.221:8001
房山电视台,http://114.254.37.158:18888/rtp/239.3.1.96:8001
密云电视台,http://114.254.37.158:18888/rtp/239.3.1.154:8001
延庆电视台,http://114.254.37.158:18888/rtp/239.3.1.187:8001
湖南金鹰纪实,http://114.254.37.158:18888/rtp/239.3.1.58:8156
湖南茶频道,http://114.254.37.158:18888/rtp/239.3.1.165:8001
湖南快乐垂钓,http://114.254.37.158:18888/rtp/239.3.1.164:8001
华数星影,http://114.254.37.158:18888/rtp/239.3.1.94:4120
华数动作影院,http://114.254.37.158:18888/rtp/239.3.1.92:4120
华数喜剧影院,http://114.254.37.158:18888/rtp/239.3.1.91:4120
华数家庭影院,http://114.254.37.158:18888/rtp/239.3.1.93:4120
华数精选,http://114.254.37.158:18888/rtp/239.3.1.74:4120
华数经典电影,http://114.254.37.158:18888/rtp/239.3.1.195:9024
华数热播剧场,http://114.254.37.158:18888/rtp/239.3.1.194:9020
华数军旅剧场,http://114.254.37.158:18888/rtp/239.3.1.68:4120
华数城市剧场,http://114.254.37.158:18888/rtp/239.3.1.67:4120
华数武侠剧场,http://114.254.37.158:18888/rtp/239.3.1.90:4120
华数魅力时尚,http://114.254.37.158:18888/rtp/239.3.1.196:9012
